LEVEL3_NAM,species,genus,family,order,Fleshy,Megafauna,L,A
,,,,,, ,,
Brazil West-Central,Duguetia megalocarpa,Duguetia,Annonaceae,Magnoliales,y,4,,
Brazil West-Central,Geissospermum sericeum,Geissospermum,Apocynaceae,Gentianales,y,4,,
Mexico Southeast,Capparidastrum quiriguense,Capparidastrum,Capparaceae,Brassicales,y,4,,
Brazil West-Central,Neocalyptrocalyx leprieurii,Neocalyptrocalyx,Capparaceae,Brassicales,y,4,,
Brazil West-Central,Hymenaea eriogyne,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Hymenaea intermedia,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Hymenaea reticulata,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Pachira nitida,Pachira,Malvaceae,Malvales,y,4,,
Brazil West-Central,Naucleopsis jamariensis,Naucleopsis,Moraceae,Rosales,y,4,,
Brazil West-Central,Naucleopsis ternstroemiflora,Naucleopsis,Moraceae,Rosales,y,4,,
Brazil West-Central,Psidium hians,Psidium,Myrtaceae,Myrtales,y,4,,
Brazil West-Central,Priogymnanthus hasslerianus,Priogymnanthus,Oleaceae,Lamiales,y,4,,
Brazil South,Priogymnanthus hasslerianus,Priogymnanthus,Oleaceae,Lamiales,y,4,,
Mexico Southeast,Glossostipula strigosa,Glossostipula,Rubiaceae,Gentianales,n,4,,
Brazil West-Central,Pouteria mattogrossensis,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria petiolata,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria rodriguesiana,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria undulatifolia,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Simaba maiana,Simaba,Simaroubaceae,Sapindales,y,4,,
Brazil West-Central,Carpotroche longifolia,Carpotroche,Achariaceae,Malpighiales,y,3,4,4
Mexico Southeast,Crescentia linearifolia,Crescentia,Bignoniaceae,Lamiales,y,3,4,3
Mexico Southeast,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,y,3,7,5
Brazil West-Central,Brasiliopuntia brasiliensis,Brasiliopuntia,Cactaceae,Caryophyllales,y,3,4,4
Brazil South,Brasiliopuntia brasiliensis,Brasiliopuntia,Cactaceae,Caryophyllales,y,3,4,4
Brazil West-Central,Cereus bicolor,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus hildmannianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil South,Cereus hildmannianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus jamacaru,Cereus,Cactaceae,Caryophyllales,y,3,12,
Brazil West-Central,Cereus pierrebraunianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus saddianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus stenogonus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil South,Cereus uruguayanus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Monvillea euchlora,Monvillea,Cactaceae,Caryophyllales,y,3,,
Brazil South,Monvillea euchlora,Monvillea,Cactaceae,Caryophyllales,y,3,,
Brazil South,Opuntia monacantha,Opuntia,Cactaceae,Caryophyllales,y,3,5a 7,5
Mexico Southeast,Pachycereus pecten,Pachycereus,Cactaceae,Caryophyllales,y,3,4,
Brazil South,Pereskia grandifolia,Pereskia,Cactaceae,Caryophyllales,y,3,4,4
Brazil West-Central,Pereskia grandifolia,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Brazil South,Pereskia nemorosa,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Brazil West-Central,Pereskia sacharosa,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Mexico Southeast,Pilosocereus collinsii,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus jauruensis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus machrisii,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Pilosocereus quadricentralis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus vilaboensis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus eichlamii,Stenocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus griseus,Stenocereus,Cactaceae,Caryophyllales,y,3,,
