"","species","labels"
"1","Abarema brachystachya","LC"
"2","Abarema piresii","LC"
"3","Abarema zolleriana","LC"
"4","Abutilon andrieuxii","LC"
"5","Abutilon giganteum","LC"
"6","Abutilon grandifolium","LC"
"7","Acaciella glauca","LC"
"8","Acaciella smithii","EN"
"9","Acalypha mollis","LC"
"10","Acanthocladus albicans","LC"
"11","Acanthocladus brasiliensis","LC"
"12","Acanthosyris falcata","LC"
"13","Acanthosyris spinescens","LC"
"14","Acnistus arborescens","LC"
"15","Acoelorrhaphe wrightii","LC"
"16","Acrocomia aculeata","LC"
"17","Acrocomia glaucescens","LC"
"18","Actinostemon amazonicus","LC"
"19","Adelia membranifolia","LC"
"20","Aegiphila bracteolosa","LC"
"21","Aegiphila graveolens","LC"
"22","Aegiphila luschnathii","LC"
"23","Aegiphila martinicensis","LC"
"24","Aegiphila riedeliana","LC"
"25","Agarista chapadensis","LC"
"26","Agarista coriifolia","LC"
"27","Agarista duckei","LC"
"28","Agarista eucalyptoides","LC"
"29","Agarista minensis","EN"
"30","Agarista niederleinii","LC"
"31","Agonandra ovatifolia","EN"
"32","Aiouea hatschbachii","LC"
"33","Aiouea haussknechtii","LC"
"34","Aiouea inconspicua","LC"
"35","Aiouea piauhyensis","LC"
"36","Aiouea pseudoglaziovii","LC"
"37","Aiouea stenophylla","LC"
"38","Aiouea trinervis","LC"
"39","Albizia leucocalyx","LC"
"40","Alchornea sidifolia","LC"
"41","Alibertia macrantha","LC"
"42","Alibertia pilosa","LC"
"43","Allantoma decandra","LC"
"44","Allantoma kuhlmannii","LC"
"45","Allophylus glabratus","LC"
"46","Allophylus guaraniticus","LC"
"47","Allophylus pauciflorus","LC"
"48","Allophylus peruvianus","LC"
"49","Allophylus petiolulatus","LC"
"50","Allophylus puberulus","LC"
"51","Allophylus semidentatus","LC"
"52","Aloysia virgata","LC"
"53","Alsophila firma","LC"
"54","Alsophila setosa","LC"
"55","Alsophila sternbergii","LC"
"56","Amanoa glaucophylla","LC"
"57","Amanoa sinuosa","LC"
"58","Amolinia heydeana","EN"
"59","Amomyrtus luma","LC"
"60","Amphitecna apiculata","LC"
"61","Amphitecna breedlovei","LC"
"62","Amphitecna donnell","LC"
"63","Amphitecna latifolia","LC"
"64","Amphitecna macrophylla","LC"
"65","Amphitecna montana","LC"
"66","Amphitecna silvicola","LC"
"67","Amphitecna steyermarkii","VU"
"68","Amyris attenuata","EN"
"69","Amyris sylvatica","LC"
"70","Anacardium giganteum","LC"
"71","Anacardium occidentale","LC"
"72","Anacardium spruceanum","LC"
"73","Andinocleome magnifica","LC"
"74","Angostura longiflora","LC"
"75","Aniba heringeri","LC"
"76","Anisocapparis speciosa","LC"
"77","Anisophyllea manausensis","LC"
"78","Annona amambayensis","EN"
"79","Annona coriacea","LC"
"80","Annona scleroderma","LC"
"81","Annona spinescens","LC"
"82","Antrocaryon amazonicum","LC"
"83","Apeiba macropetala","LC"
"84","Aptandra liriosmoides","LC"
"85","Arachnothryx gonzaleoides","LC"
"86","Arachnothryx jurgensenii","LC"
"87","Arachnothryx laniflora","LC"
"88","Arachnothryx lineolata","EN"
"89","Arachnothryx nitida","EN"
"90","Arachnothryx ovandensis","VU"
"91","Arachnothryx purpurea","EN"
"92","Arachnothryx pyramidalis","LC"
"93","Arachnothryx septicidalis","LC"
"94","Arachnothryx stachyoidea","LC"
"95","Arachnothryx tacanensis","EN"
"96","Ardisia austin","LC"
"97","Ardisia breedlovei","EN"
"98","Ardisia guyanensis","LC"
"99","Ardisia rarescens","LC"
"100","Aristotelia chilensis","LC"
"101","Aspidosperma araracanga","LC"
"102","Aspidosperma nobile","LC"
"103","Aspidosperma olivaceum","LC"
"104","Aspidosperma parvifolium","LC"
"105","Aspidosperma quebracho","LC"
"106","Aspidosperma riedelii","LC"
"107","Aspidosperma ulei","LC"
"108","Astrocaryum echinatum","LC"
"109","Astrocaryum gynacanthum","LC"
"110","Astrocaryum jauari","LC"
"111","Astrocaryum mexicanum","LC"
"112","Astrocaryum murumuru","LC"
"113","Astrocaryum vulgare","LC"
"114","Astronium fraxinifolium","LC"
"115","Astronium graveolens","LC"
"116","Astronium lecointei","LC"
"117","Astronium nelson","LC"
"118","Ateleia glazioveana","LC"
"119","Attalea apoda","LC"
"120","Attalea brasiliensis","LC"
"121","Attalea butyracea","LC"
"122","Attalea cohune","LC"
"123","Attalea dubia","LC"
"124","Attalea huebneri","LC"
"125","Aureliana brasiliana","LC"
"126","Aureliana velutina","LC"
"127","Aureliana wettsteiniana","LC"
"128","Austrocritonia velutina","LC"
"129","Austroeupatorium inulaefolium","LC"
"130","Averrhoidium paraguaiense","LC"
"131","Azara celastrinea","LC"
"132","Azara dentata","LC"
"133","Azara microphylla","LC"
"134","Azara uruguayensis","LC"
"135","Baccharis calvescens","LC"
