,code,LEVEL3_NAM,species,genus,family,order
886,2392,Brazil South,Avicennia schaueriana,Avicennia,Acanthaceae,Lamiales
61,3218,Brazil South,Achatocarpus praecox,Achatocarpus,Achatocarpaceae,Caryophyllales
9442,2876,Brazil South,Sambucus australis,Sambucus,Adoxaceae,Dipsacales
819,2153,Brazil South,Astronium fraxinifolium,Astronium,Anacardiaceae,Sapindales
824,2449,Brazil South,Astronium graveolens,Astronium,Anacardiaceae,Sapindales
6010,3033,Brazil South,Lithrea brasiliensis,Lithrea,Anacardiaceae,Sapindales
6012,3113,Brazil South,Lithrea molleoides,Lithrea,Anacardiaceae,Sapindales
6941,3405,Brazil South,Myracrodruon balansae,Myracrodruon,Anacardiaceae,Sapindales
9580,6007,Brazil South,Schinus longifolius,Schinus,Anacardiaceae,Sapindales
9583,2270,Brazil South,Schinus terebinthifolius,Schinus,Anacardiaceae,Sapindales
9584,3400,Brazil South,Schinus ferox,Schinus,Anacardiaceae,Sapindales
9588,2921,Brazil South,Schinus engleri,Schinus,Anacardiaceae,Sapindales
9590,3409,Brazil South,Schinus areira,Schinus,Anacardiaceae,Sapindales
9591,3410,Brazil South,Schinus molle,Schinus,Anacardiaceae,Sapindales
9594,3209,Brazil South,Schinus lentiscifolius,Schinus,Anacardiaceae,Sapindales
10460,2274,Brazil South,Tapirira guianensis,Tapirira,Anacardiaceae,Sapindales
489,2746,Brazil South,Annona cacans,Annona,Annonaceae,Magnoliales
501,2747,Brazil South,Annona rugulosa,Annona,Annonaceae,Magnoliales
505,2407,Brazil South,Annona dolabripetala,Annona,Annonaceae,Magnoliales
509,2748,Brazil South,Annona sylvatica,Annona,Annonaceae,Magnoliales
513,4112,Brazil South,Annona crassiflora,Annona,Annonaceae,Magnoliales
525,2711,Brazil South,Annona emarginata,Annona,Annonaceae,Magnoliales
529,3219,Brazil South,Annona montana,Annona,Annonaceae,Magnoliales
537,2152,Brazil South,Annona neosalicifolia,Annona,Annonaceae,Magnoliales
